date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:06	390553/390553	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:45%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Gusto_Snack_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Gusto_Snack_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:03:19	432738/432738	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:44%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Forest_Check_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Forest_Check_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:03:40	462214/462214	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:43%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Beach_Snack_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Snacks/__thumbs_1550_855_scale/Beach_Snack_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:03:55	454904/454904	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:42%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Patiserie_Macaroon/__thumbs_1550_855_scale/Patisserie_Macaroon_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Patiserie_Macaroon/__thumbs_1550_855_scale/Patisserie_Macaroon_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:04:09	310031/310031	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:40%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Night_Club_Rouge/__thumbs_1550_855_scale/Night_Club-Rouge_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Night_Club_Rouge/__thumbs_1550_855_scale/Night_Club-Rouge_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:04:18	447134/447134	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:41%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Patiserie_Macaroon/__thumbs_1550_855_scale/Patisserie_Macaroon-2_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Patiserie_Macaroon/__thumbs_1550_855_scale/Patisserie_Macaroon-2_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:04:40	374483/374483	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:39%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Main_Restaurant/__thumbs_1550_855_scale/Main_Restaurant_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Main_Restaurant/__thumbs_1550_855_scale/Main_Restaurant_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:05:00	404240/404240	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:37%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Looby_Bar-One-3_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Looby_Bar-One-3_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:05:10	374732/374732	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:36%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Lobby_Bar_One1_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Lobby_Bar_One1_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:05:26	412301/412301	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:36%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Lobby_Bar-One_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Restaurants_and_Bars/Bars/Lobby_Bar/__thumbs_1550_855_scale/Lobby_Bar-One_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
